word,synonyms,sentence
hoax,,"Don't hoax the new boy who's my
nephew.
别戏弄新来的小伙子啊 ，他是我外甥
。"
hobble,,
hodgepodge,"patchwork
/welter/pastiche","The gross national product were
seen as a hodgepodge of buicks, chickens, shirts, and diaper services.
把国民生产总值看成是别克牌汽车 ，
小鸡，衬衫和织补服务等的大杂烩 。"
homage,,
homely,,
homily,,
homogenize,,
hone,enhance,"She honed her debating skills at
college.
她在大学时便练就了辩论技巧 。"
hoodwink,,"Many people are hoodwinked by the
so-called beauty industry.
很多人都被所谓的美容业欺骗了 。"
hortative,,
hubris,arrogance,"Hubris is the big worry.
傲慢是最大的隐患。"
humble,,"He gave a great performance, but
he was very humble.
他的表演非常出色，但他却很谦虚。"
humbug,,
humdrum,dull,"They all appeared to be lost in the
humdrum and routine of their work.
他们好像在一个个单调的工作中迷失
了。"
humiliate,,"She had been beaten and humiliated
by her husband.
她遭到丈夫的殴打和羞辱 。"
humor,,"He told me to change my office layout, and I did it, mostly to humor my wife.
他要我改变办公室的格局 ，我照做
了，多半是为了迎合我太太"
hurricane,,
husband,,"Husbanding precious resources was part of rural life.
节约地使用宝贵的资源是乡村生活的
一部分。"
husk,,
husky,,
hybrid,,
hymn,,
hyperbole,exaggeration,"American humor is founded largely
on hyperbole.
美式幽默主要以夸张为基础 ."
hypnotic,,
hypocritical,,
hypothetical,,
iconoclast,,"Cage was an iconoclast. He refused
to be bound by western musical traditions of harmony and structure.凯奇是个反传统的人 。他拒绝接受西方有关和声和结构的音乐传统的束缚
。"
idiosyncrasy,distinct/atypical,"The book is a gem of Victorian
idiosyncrasy.
这本书展现了维多利亚时代特质的精
华。"
idle,,"Employees have been idle almost a month because of shortages.
由于原料短缺，员工们已将近一个月无事可做。"
idolatrize,,
idyll,,
ignite,,"There was one teacher who really ignited my interest in words
曾经有一位老师真正激起了我对文字的兴趣。"
ignominy,,
ill-bred,,
illiteracy,,
illuminate,clarify,"Our interesting teacher could
illuminate almost any subject we studied.
我们这位有趣的老师几乎能解释清楚
我们所学的所有科目 ."
illuminati,,
illusory,,"It seemed an idealistic and illusory dream.
那似乎是个不切实际的幻梦 。"
illustrious,distinguished/prominent,"The composer was one of many
illustrious visitors to the town.
那位作曲家是许多造访过这个城市的
杰出人物之一。"
imbibe,quaff,"These plants imbibe moisture through their roots.
这些植物通过根部吸收水分 。"
imbroglio,,
imitation,,
immaculate,,
immanent,,
immaterial,inconsequential,"Whether we like him or not is
immaterial.
我们是否喜欢他无关紧要 。"
immature,,
immemorial,,
immune,,
immure,,"He was immured in a dark room.
他被禁闭在一间暗室中 。"
immutable,,"Our nature is not considered immutable, either socially or biologically.
无论是从社会学还是从生物学的角度
来看,我们的本性都不是永远不变的 ."
impassive,,"He was content to stand by as an
impassive spectator.
他满足于站在旁边做一个冷漠的旁观
者。"
impeccable,flawless,"She had impeccable taste in clothes.
她的穿衣品位无可挑剔 。"
impecunious,indigent,"He is impecunious, does not know anyone who can lend money.
他身无分文，也不认识任何可以借钱
的人。"
impede,hamper,"Fallen rock is impeding the progress of rescue workers.
坠落的石头阻碍了救援人员的救援进
程。"
impending,,"On the morning of the expedition I
awoke with a feeling of impending disaster.
出发远征的那个早上 ，我醒来就有一种灾难即将来临的感觉 。"
impenetrable,,"His books are notoriously impenetrable.
他的书出了名的晦涩难懂 。"
impenitent,,
imperative,,"Job creation has become an imperative for the government.
创造就业机会是政府必须做的事 。"
imperial,,"They executed Russia's imperial family in 1918.
他们 1918 年处死了俄国沙皇皇族 。"
imperious,,"From across the desk she gave him a witheringly imperious look.
她从桌子对面扫了他一眼 ，目光咄咄逼人，凌利而专横。"
imperishable,,
impertinent,presumptuous,"I don't like strangers who ask
impertinent questions.
我不喜欢冒昧提问的陌生人 。"
imperturbable,,"He remained imperturbable in spite
of the hysteria and panic all around him.
尽管他周围的人歇斯底里地惊慌失
措，但他仍保持冷静。"
impervious,,"She seems almost impervious to the criticism from all sides.
对于来自各方的指责 ，她似乎无动于衷。"
impetuous,precipitate,"He tended to react in a heated and
impetuous way.
他往往反应过火又显鲁莽 。"
impious,,
implacable,"unyielding
/
inexorable","She is implacable an adversary as a wife suing for alimony.
有如诉讼要求赡养费的妻子一样 ，她是个难以安抚的对手 。"
implement,,"The government has agreed to implement the recommendation  in the report.
政府已同意实施报告中的建议 。"
implicit,,
implode,,
importune,,
imposing,,
impostor,,
impotent,,"Without the chairman's support, the
committee is impotent.
没有主席的支持，委员会是无能为力
的。"
imprecise,,
impromptu,,"The children put on an impromptu
concert for the visitors.
孩子们为来访者即兴献上了一场音乐会。"
improvise,,"Uncle Richard intoned a chapter
from the Bible and improvised a prayer.
理查德叔叔吟诵了《圣经》中的一
章，又即兴作了一段祈祷文 。"
imprudent,,"The Government of Jamaica consider it imprudent to abolish the death penalty.
牙买加政府认为废除死刑是轻率之举
。"
impudent,,"The teacher threatened to kick the impudent pupil out of the room.
老师威胁着要把这放肆无礼的小学生
撵出教室。"
impugn,,"All that Cheney has done was to impugn Obama's policies.
切尼所做的一切都是指责奥巴马的政
策"
impuissance,,
impunity,,"These gangs operate with apparent impunity.
这些团伙明目张胆地活动 ,却不受任何
惩罚。"
inadvertent,,"The government has said it was an
inadvertent error.
政府声称那是因疏忽造成的过失 。"
inalienable,,
inane,,
inanimate,,
inaugurate,,"The new President will be inaugurated on January 20.
新总统将于1月20号举行就职典礼。"
incandescent,,
incantation,,
incarnate,,
incendiary,,"The latest scheme is much smaller
but a lot more incendiary.
最新的定居点计划规模小很多  ，然而
却具有更大的煽动性 。"
incense,,
incentive,,"Many companies in Britain are keen on the idea of tax incentives for R& D.
英国许多公司都热衷于用税收优惠的
方式来鼓励研发。"
inception,foundation,"Since its inception the company has
produced 53 different aircraft designs.
该公司自成立以来已经完成了  53 种
不同样式飞行器的设计 。"
incessant,,"The noise of bombs and guns was incessant.
炸弹和枪炮接连不断 。"
inch,,
inchoate,,"Once people are found out
cancered, except few inchoate can be cured by operation, most of others are uncurable.
人们一旦发现患上癌症 ，除个别早期可以手术治疗外，其它大部分是无法
治愈的。"
incinerate,,
incipient,,"She felt for him an incipient tenderness, but scarcely any passion.
她对他的好感只是一种刚刚萌芽的柔
情, 还根本谈不上什么爱情 。"
incite,,
inclement,,
incogitant,,
incommensurate,,
inconclusive,,
incongruent,,
inconsequential,trivial/immaterial,"Seemingly inconsequential  details
can sometimes contain significant clues.
貌似无足轻重的细节有时可能隐含着
重大的线索。"
inconsistent,,
incontrovertible,,
incorrigible,,
incriminate,,
incubate,,"The birds returned to their nests and continued to incubate the eggs.
鸟儿回到巢里继续孵卵 。"
inculpate,,"Someone placed the pistol in your
room in order to inculpate you.
有人把手枪放在你房间里是为了指控你。"
incumbent,,"He defeated the incumbent governor
by a large plurality.
他以压倒多数票击败了现任州长 。"
incursion,,"The English incursion was doomed from the outset.
从一开始，英格兰人的入侵就注定了失败。"
indecorous,,"Carrie could not ignore his
indecorous behavior though she loved him very much.
尽管凯莉非常爱他却无法忽视他那有
失体统的行为。"
indelible,,
indemnity,,
indict,excoriate,"The senator was indicted for murder.
那位参议员被控犯谋杀罪 。"
indifferent,apathy,"People have become indifferent to the suffering of others.
人们对别人的痛苦已经变得无动于衷
。"
indigenous,,"Not all indigenous regimes were
willing to accept the supposed benefits of British trade.
并非所有当地的政权都愿意接受与英
国贸易的所谓好处。"
indigent,impecunious,"The town government is responsible
for assistance to indigent people.
镇政府负责给穷人提供帮助 。"
indispensable,essential/crucial,"Cars have become an indispensable
part of our lives.
汽车已成了我们生活中必不可少的一
部分。"
indoctrinate,,
indolent,,"Having nothing to do makes one
indolent.
一个人老是无所事事就会懒散成性 。"
induce,engender,"Doctors said surgery could induce a heart attack.
医生们说手术有可能引起心脏病发作
。"
indulgent,,"His indulgent mother was willing to
let him do anything he wanted.
他母亲很纵容他，任由他想干什么就
干什么。"
indurate,,
industrious,diligent,"The Chinese are industrious.
中国人是勤劳的。"
ineffable,,
ineluctable,,
inept,,"He was inept and lacked the
intelligence to govern.
他没有什么能力，缺乏管理才干。"
inert,,"He lay inert with half-closed eyes.
他半睁着双眼一动不动地躺着 。"
inevitable,unavoidable/preordained/ineluctable,"Most unions see privatization as an inevitable prelude to job losses.
大多数工会认为私有化会不可避免地导致失业。"
inexorable,implacable,"His own career continues its
inexorable ascent
他事业的上升势头锐不可当 。"
infamous,,
infatuate,,
infelicitous,,
infiltrate,,
infinite,,
infirm,,
inflame,,
influx,,
infraction,,
infuriate,,"Their insults infuriated him.
他们的侮辱激怒了他 。"
infuse,,
ingenious,clever,"The ingenious boy made a radio set
for himself.
那个聪明的男孩自己组装了一台收音
机。"
ingenuous,,Only the most ingenuous person would believe such a weak excuse!只有最天真的人才会相信这么一个站不住脚的借口!
ingest,,
ingrained,,
ingratiating,,
inherent,,"Industry and frugality are the inherent qualities of the Chinese nation.
勤劳俭朴是中华民族的本色 。"
inimical,antagonistic/deleterious,"His methods are inimical to radical change.
他的方法不利于彻底的变革 。"
inimitable,,
iniquity,,
initiate,,
inkling,,
innocuous,harmless/benign/inoffensive,"Even seemingly innocuous words are offensive in certain contexts.
甚至看似毫无恶意的言辞在某些语境下都会引起冒犯。"
innovative,experimental,"Japanese companies have been
pumping out plenty of innovative products.
日本公司一直在生产大量富有创意的
产品。"
inquisitive,,"She is a inquisitive about everyone's
affair.
她对每个人的事都好奇 。"
insensible,,
insentient,,
insipid,bland,"It tasted bland and insipid, like
warmed cardboard.
这吃起来淡而无味，像加热过的纸板
。"
insolent,,"An insolent boy stuck his tongue out
at us.
一个无礼的男孩对我们伸出了舌头 。"
insouciant,,
instate,,
instigate,,"His object was to instigate a little
rebellion on the part of the bishop.
他的目的是,在主教方面煽起一场小小
的造反。"
instill,,
institute,,
insubordinate,,
insular,provincial/private,"Having lived in one place all his life,
his views are insular.
他一辈子住在一个地方 ，所以思想狭
隘。"
insulate,,"Is there any way we can insulate our
home from the noise?
有什么办法可以使我们的住宅隔音
吗？"
insurgent,,
intangible,,"There are intangible benefits beyond
a rise in the share price.
除股价上升之外还有无形利益 。"
integral,,
integrity,,
intelligible,readable,"The language of Darwin was
intelligible to experts and non- experts alike.
达尔文的语言对专家和平常人来说都
容易理解。"
intemperate,,
intensify,,
inter,,
intercessor,,
interdict,,
interim,,
interlock,,
intermediary,,"Until the students to intern, schools play an intermediary role, students and the schools there is still an intermediary between the nature of legal relationship.
直至学生进入实习单位学校始终扮演着中间人的角色，学生与学校之间还
存在着中介性质的法律关系 。"
interminable,,"The play dragged on, and seemed
interminable.
演出拖拖拉拉地进行着 ，仿佛没完没
了。"
intermittent,,"After three hours of intermittent rain, the game was cancelled.
雨断断续续地下了3个小时之后，比
赛被取消了。"
interregnum,,
interrogate,,
intimate,,"Professor Li has already intimated that he intends to retire.
李教授已经暗示他打算退休 。"
intimidate,,"Jones had set out to intimidate and
dominate Paul.
琼斯开始恐吓并控制保罗 。"
intoxicant,,
intransigent,obdurate/resolute,"They put pressure on the
Government to change its intransigent stance.
他们向政府施压以迫使其改变不妥协
的立场。"
intrepid,,"Intrepid pioneers settled the American West.
无所畏惧的先驱者们在美国西部定居
。"
intrigue,,
intrinsic,inherent,"Diamonds have little intrinsic value and their price depends almost entirely on their scarcity.
钻石没有多少本质价值 ，它们的价格
几乎完全取决于其稀有程度 。"
intuitive,spontaneous,"Her perception of the right seemed
almost intuitive.
她对正确事物的理解几乎是凭借直觉
的。"
inundate,,
inure,,"We should inure ourselves to hard
life.
我们应该使自己习惯艰苦生活 。"
invective,,"Crowley maintained a stream of
invective and abuse against Waite.
克劳利连珠炮似的对韦特骂个不停 。"
inveigh,,
inveigle,,"She inveigles Paco into a plot to
swindle Tania out of her savings.
她引诱帕科一起合谋来骗取塔妮娅的
积蓄。"
inventory,,
inveterate,,"It is hard for an inveterate smoker to
give up tobacco.
要一位有多年烟瘾的烟民戒烟是困难
的。"
invidious,,"It would be invidious to single out any one person to thank.
单独感谢任何一个人都易引起反感 。"
invigorate,refresh,"Take a deep breath in to invigorate
you.
深吸一口气来提提神 。"
invincible,,
invoke,,"The judge invoked an international law that protects refugees.
法官援用了一项保护难民的国际法律
。"
irascible,exasperation,"He had an irascible temper.
他脾气易怒。"
irate,,
iridescent,,
irk,,
ironclad,,
irradicable,,
irrigate,,
irritate,,"Their attitude irritates me.
他们的态度激怒了我 。"
issue,,
itinerant,peripatetic,"He is starting itinerant performance
all over the world.
他正在世界各地巡回演出 。"
jabber,,
jaded,,"I felt terribly jaded after working all weekend.
整个周末工作之后我感到疲惫不堪 。"
jape,,
jargon,,"The manual is full of the jargon and slang of self-improvement courses.手册里满是有关自修课程的行话术语
。"
jarring,,"In the context of this chapter, Dore's
comments strike a jarring note.
在这一章的语境中，多尔的评论显得
很尖刻。"
jaundice,,
jaunty,,
jejune,vapid,"They were of great service in correcting my jejune generalizations.
他们纠正了我不成熟的泛泛之论 ，帮
了我大忙。"
jeopardy,,
jest,,
jettison,,"The crew jettisoned excess fuel and made an emergency landing.
机组人员丢弃了多余的燃料 ，紧急着
陆。"
jibe,,"He made several cheap jibes at his opponent during the interview.
在采访中他好几次对他的对手粗俗地加以嘲讽。"
jingoist,,
jitters,,
jocular,,
jocund,,
jog,,
jolt,,
jot,,
jovial,,"Amidst the drumbeats and jovial chants, time passed.
时间在鼓声和愉快的圣歌声中流逝 。"
jubilant,,
judicious,,"At a key moment in his life, he made
a judicious investment that was the foundation of his wealth.
在他一生的关键时刻 , 他做出了明智的投资, 这便成了他以后富裕的基础
。"
juggernaut,,
justify,,"He tried to justify his absence with lame excuses.
他想用站不住脚的借口为自己的缺席
辩解。"
ken,,
kidnap,,
kilter,,
kindle,,"The Second World War kindled his
enthusiasm for politics.
第二次世界大战激发了他的政治热情
。"
kindred,affiliated,"I recall many discussions with her on
these and kindred topics.
我回想起多次同她就这些问题及类似
话题进行的讨论。"
knack,,
knit,,
knotty,complicated,"The new management faces some
knotty problems.
新的管理层面临着一些棘手的问题 。"
kudos,,
labile,,
laborious,arduous,"My mother is a laborious woman.
我的母亲是一个勤劳的女人 。"
labyrinthine,,"The streets of the Old City are
narrow and labyrinthine.
老城区的街道狭促曲折 ，好似迷宫一
般。"
lacerate,,
lachrymose,,"Julia Moreno plays the lachrymose
heroine of the film.
朱莉亚莫雷诺在片中扮演爱哭的女主
角。"
lackluster,,"He has already been blamed for his
party's lackluster performance during the election campaign.
他的政党在竞选活动中表现平平 ，他因此已受到指责。"
laconic,taciturn/terse/curt,"His laconic reply suggested a lack of interest in the topic.
他简明的回答显得他对该话题缺乏兴
趣。"
lag,,
lambaste,denounce,"They lambasted the report as a
gross distortion of the truth.
他们激烈批评该报告是严重歪曲事实
。"
lament,,"The royal members lamented the passing of aristocratic society.
王室家族成员悲叹贵族社会的消失 。"
lampoon,,
lance,,
languid,,"To his delight a familiar, tall, languid
figure lowered itself down the steps of a club.
看到一个熟悉的高大身影沿着俱乐部的台阶无精打采地走下来 ，他高兴极
了。"
languish,,"The flowers languished from lack of water.
花因缺水而凋萎。"
languor,,
lank,,
lapse,,"A momentary lapse in the final set cost her the match.
她最后一盘稍有失误 ，输掉了整场比赛"
largesse,,"Our people are in no need of richer nations’ largesse.
我国人民不需要富国的施舍 。"
lash,,
lassitude,,"Symptoms of anaemia include
general fatigue and lassitude.
贫血症状包括全身疲劳和困乏 。"
latent,,"Advertisements  attempt to project a
latent meaning behind an overt message.
广告试图传达一种隐藏在公开信息里
的潜在意义。"
latitude,,"He would be given every latitude in forming a new government.
他将被给予高度自由来建立一个新政
府。"
laudatory,,"Beth spoke of Dr. Hammer in
laudatory terms.
贝丝谈及哈默医生时赞不绝口 。"
lavish,sumptuous,"He drew criticism for his lavish
spending.
他因挥霍无度而招致批评 。"
lax,,
leaven,,"Her speech was leavened with a
touch of humour.
几分幽默使她的讲话更为有趣 。"
leer,,
leery,,
legacy,,
legion,,
lenient,,"He believes the government already
is lenient with drug traffickers.
他认为政府对毒贩已经很宽容了 。"
lethal,,
lethargic,"somnolent
/
slumberous","Anything longer will make you
lethargic, but a short nap will refresh you.
再睡久一点就会让你感到昏昏沉沉
了，但是小睡片刻会让你神清气爽 。"
levelheaded,,
levity,,"At the time, Arnold had disapproved
of such levity.
那时候的阿诺德对这种轻浮行为很看
不惯。"
liability,,
libelous,,
liberal,,
libertine,,
license,,"The new drug has not yet been licensed in the US.
这种新药尚未在美国获得许可 。"
licentious,,
liken,,"We often liken the heart to a pump.
我们常把心脏比作泵 。"
limber,,
limp,,"I wasn't badly hurt, but I injured my
thigh and had to limp.
我伤得不重，但一条大腿伤到了，只好一瘸一拐地走。"
limpid,pellucid,"The limpid lake is like a mirror.
湖面同明镜一样清澈 。"
linger,,"We like to linger in the change
phases that we enjoy most.
我们习惯徘徊在自己最喜欢的改变阶
段。"
lionize,eulogize,"The press began to lionize him enthusiastically.
媒体开始狂热地吹捧他 。"
lissome,,
list,tilt,"The ship listed again, and she was
thrown back across the bunk.
船再次倾侧了，她又被甩回床铺的另
一头。"
lithe,,
loath,reluctant/unwilling/disinclined,"He was loath to admit his mistake.
他不愿承认自己的错误 。"
loathe,,"You loathe the smell of greasy food when you are seasick.
当你晕船时，你会厌恶油腻的气味 。"
lofty,,
loll,,
lopsided,,"His suit had shoulders that made
him look lopsided.
他那套西服的两肩不平 ，让他整个人
看起来一边高一边低 。"
loquacious,garrulous,"Would you guess women are more
loquacious?
你会认为女人更健谈吗 ？"
loutish,,
lubricate,,
lucid,,"His explanation was lucid and to the
point.
他的解释扼要易懂。"
lucrative,,"She has a lucrative business selling
leather goods.
她做皮货生意, 利润丰厚。"
ludicrous,risible,"It is ludicrous to call a simple split-
level house a mansion.
把一座简朴的错层式的房子叫做大厦
真太可笑了"
lug,,
lugubrious,gloomy,"He plays some passages so slowly
that they become lugubrious.
有些段落他演奏得异常徐缓 ，听上去
有些忧伤。"
lull,respite,"The rhythm of the boat lulled her to sleep.
小船有节奏的摇动将她送入了梦乡 。"
lullaby,,
lumber,,
luminary,,"Corporate luminaries cackle on
about the importance of quality.
企业界名人喋喋不休地谈论质量的重
要性。"
luminous,,
lurch,,"As the car sped over a pothole she
lurched forward.
车子飞驶过一个坑洼时 ，她身子猛地向前一倾。"
lurid,,"She gave us a lurid description of
the birth.
关于分娩，她向我们做了令人毛骨悚
然的描述。"
lurk,,"There is a suspicious man lurking in the shadows.
有一可疑的人躲在阴暗中 。"
lush,,"The vegetation is lush on the
Hawaiian Islands.
夏威夷岛上的植被很葱翠 。"
lustrous,,
luxurious,,
lyric,,
macabre,,
macerate,,
machination,,"They are attempting to counter o enemy's machination.
他们在试图反击敌人的阴谋 。"
maculate,,
madcap,,"His fast-paced novels are full of
bizarre situations and madcap antics.
他那些快节奏的小说里充满了怪诞的
场景和荒唐的行为。"
maelstrom,,"Inside, she was a maelstrom of
churning emotions.
她心中的情感似波涛汹涌 ，起伏不定
。"
magnificent,,
magnitude,,
majestic,august,"She was attracted by the majestic
scenery.
她被这壮丽的景色所吸引 。"
maladroit,,
malaise,,
malcontent,,
malevolent,,
malfeasance,fraudulence,"The mayor is condemned for the monstrous malfeasance of his administration.
市长被宣告有罪，由于其领导的政府
渎职。"
malicious,,"These are not necessarily hateful,
malicious people.
这些人不一定心怀仇恨 ，恶意伤人。"
malign,,"Either the managers have been maligned or they are not telling the truth.
要么是经理们受到了污蔑 ，要么就是
他们在撒谎。"
malignant,,"He was died of a malignant tumor.
他死于恶性肿瘤。"
malinger,,"She was told by her doctor that she was malingering.
医生告诉她，她这是在装病。"
malleable,plastic,"Silver is the most malleable of all
metals.
银是所有金属中延展性最好的 。"
malodorous,noisome,"Presently, most of the ground water
in China gradually tend to be malodorous black river due to the deteriorating pollution.
目前我国大部分城市地表水由于污染
日趋严重已经演变成黑臭水体 。"
manacle,,"He was manacled by the police.
他被警察上了镣铐。"
mandatory,,
maneuver,,"The pilot was able to maneuver the crippled aircraft out of the hostile area.
飞行员成功地操纵严重损坏的飞机驶出敌区。"
mangle,,
mangy,,
mania,,
manifest,reveal/self-evident/obvious,"The same alarm is manifest everywhere.
同样的恐慌在各地都已出现 。"
manipulate,,"The technology uses a pen to manipulate a computer.
这项技术使用笔来操控计算机 。"
mannered,,
manumit,,
manuscript,,"The lost manuscript was found in a repository in France.
丢失的手稿在法国的一个存放处被找到了。"
mar,,"A number of problems marred the smooth running of this event.
许多问题破坏了该事件的顺利进行 。"
marginal,peripheral,"The tribunals were established for
the well-integrated members of society and not for marginal individuals.
这个特别法庭是为社会中的主流人群设立的，而不是为了无足轻重的小人
物。"
martinet,,"They discover that the new teacher is a martinet.
他们发现新来的老师非常严格 。"
marvel,,"We all marveled at his success.
我们对他的成功感到惊奇 。"
mash,,
masquerade,,
mastery,,
matriculate,,
maudlin,,"Jimmy turned maudlin after three
drinks.
三杯酒下肚后，吉米伤感起来。"
maven,,
maverick,nonconformist,"He was too much of a maverick ever
to hold high office.
他太特立独行，永远不可能升职。"
mawkish,,"The most common writing theme in the western newspaper is obituary report which is rich in content, varied in style, and sentimental in expression but not mawkish as well.西方报纸上常见的讣闻 ，内容丰富、
形式多样，哀而不伤。"
meager,insufficient/paltry,"He could not support his family on his meager salary.
他靠微薄的工资无法养家 。"
mean,,
meander,,"The stream meanders slowly down to the sea.
这条小河弯弯曲曲缓慢地流向大海 。"
measly,,
measured,,"Her more measured response will
appeal to voters.
她那经过斟酌的答复会受到选民的欢
迎。"
meddle,,"He is inclined to meddle in other
people's affairs.
他总喜欢干涉别人的事 。"
mediate,,"The Vatican successfully mediated
in a territorial dispute between Argentina and Chile in 1984.
梵蒂冈成功地调解了 1984年阿根廷与
智利之间的领土争端 。"
mediocre,,"His school record was mediocre.
他在学校成绩平平。"
meditate,,"That's when I try to meditate or do
some deep-breathing exercises.
这时我就会试着沉思或者做些深呼吸练习。"
medley,,"Japan won the Men's 200 metre
individual medley.
日本赢得了男子200米个人混合泳比赛。"
meek,,
meet,condign,"It is only meet that she should be
seated first.
她应该先坐，这才合适。"
mellifluous,,
melodramatic,,"She wanted to laugh at the
melodramatic  way he was acting.
他戏剧化的夸张架势使她忍不住想笑
。"
menace,,"In my view you are a menace to the public.
在我看来，你对公众是个威胁。"
mendacious,,
menial,,
mentor,,
mercenary,exploitative,"Mercenary men lust for wealth.
唯利是图的人贪求财富 。"
mercurial,volatile/inconstant,"Emily's mercurial temperament made her difficult to live with.
埃米莉脾气反复无常 ，很难与她相处
。"
meretricious,,"Advertisements  convey an
impression, however meretricious, of the importance of the goods being sold.
商业广告尽管华而不实 ，却能使人对
正在销售的商品的重要性留有印象 。"
merited,,
mesh,,
mesmeric,,
metamorphose,,
metaphor,,"In poetry the rose is often a metaphor for love.
诗歌中常用玫瑰花来隐喻爱情 。"
metaphysical,,
meteoric,,
methodical,,
meticulous,thorough/exact/painstaking,"The painting had been executed with meticulous attention to detail.
画这幅画的时候，画家对细节真是一丝不苟。"
mettle,,
miff,,
migratory,,
milieu,,"They stayed, safe and happy, within
their own social milieu.
他们幸福无忧地呆在自己的社交圈子
里"
milk,,
mime,,
mimic,camouflage/replicate,"Neural networks are computer
systems which mimic the workings of the brain.
神经网络是模拟大脑工作方式的计算
机系统。"
minatory,,
mingle,,
minimize,,"Concerned people want to minimize the risk of developing cancer.
相关人员希望尽可能降低罹癌风险 。"
ministration,,"He had a kitchen made spotless by
the ministrations of a cleaning lady.
他的厨房被清洁女工照料得一尘不染
。"
mint,,
minuscule,diminutive,"The film was shot in 17 days, a
minuscule amount of time.
这部电影仅用短短的 17天便拍摄完毕
。"
minute,,"There has been a minute improvement in the working conditions of the factory.
工厂的工作情形已有微小的改善 。"
minutiae,,
mirage,,
mire,,
mirth,,"The performance produced much
mirth among the audience.
这场演出使观众笑声不断 。"
misanthropic,,
misapprehension,,
misbehaving,,
mischievous,,
misconstrue,,"An outsider might misconstrue the
nature of the relationship.
外人可能会误解这种关系的本质 。"
miscreant,,
misdemeanour,,
miserly,stingy/parsimonious,"He is miserly with both his time and his money.
他对时间和金钱都非常吝啬 。"
misgiving,"trepidation
/qualm","She had some misgivings about what she was about to do.
她对自己要做的事有些疑虑 。"
mishap,,"This mishap reminded me of a traffic accident I once experienced.
这次小事故使我联想起我过去经历的
一次交通事故。"
misrepresent,,"The press had misrepresented  him as arrogant and bullying.
新闻界把他曲解成了一个傲慢霸道的
人。"
mite,,
mitigate,"abate/curtail/temper/
ameliorate","Governments  should endeavor to mitigate distress.
政府应努力缓解贫困问题 。"
mockery,derision,"This action makes a mockery of the
Government's  continuing protestations of concern.
这一行动是对一再声明表示关注的政
府的嘲弄。"
moderate,,"They are hoping that once in office
he can be persuaded to moderate his views.
他们希望等他一上台 ，可以说服他观
点别那么激进。"
modicum,dearth,"They should win, given a modicum
of luck.
只要有一点点运气，他们就会赢。"
mollify,,"He tried to find ways of mollifying
her.
他想方设法安慰她。"
mollycoddle,,
molt,,
momentous,,"I am deeply honored to be invited to
this momentous occasion. 能应邀出席如此重要的场合，我深感荣幸。"
momentum,,"They began to lose momentum in the second half of the game.
在比赛的下半场，他们的势头就逐渐减弱。"
monarch,,
mongrel,,
monochromatic,,"The resolution of white light into its
separate monochromatic components is called dispersion.
这种白光分解为各单色成分的现象叫
做色散。"
monolithic,,"Mathematics is not a single monolithic structure of absolute truth!
数学并不是绝对真理的单一整体结构
。"
monologue,,
monopolize,,
monotonous,repetitive,"It's monotonous work, like most
factory jobs.
与工厂大部分工作一样 ，这份工作也
很单调乏味。"
montage,,
moratorium,,
morbid,,"It's morbid to dwell on cemeteries and such like.
不厌其烦地谈论墓地以及诸如此类的
事是一种病态。"
mordant,acerbic,"His mordant wit appealed to
students.
他那尖刻的妙语受到学生的欢迎 。"
moribund,,"Imperialism is monopolistic, parasitic
and moribund capitalism.
帝国主义是垄断的、寄生的、垂死的
资本主义。"
morose,,
mosaic,,
moth-eaten,,
motile,,
motivate,,"Our challenge is to motivate those
voters and inspire them to join our cause.
我们面临的挑战是如何调动那些选民的积极性并鼓励他们加入我们的事业
。"
motley,,"A motley group of people attended the meeting.
参会的人很杂。"
mottle,,
mournful,,
muddy,,
muffle,,
mulish,,
multifarious,,"Spain is a composite of multifarious traditions and people.
西班牙是多种传统和多个民族的合成体。"
mumble,,
mundane,,"I found the job very mundane.
我觉得这工作非常单调 。"
munificent,,"He is one of the country's most
munificent artistic benefactors.
他是这个国家最慷慨的艺术资助人之一。"
murky,,"He had a somewhat murky past.
他有一段不清白的过去 。"
murmur,,
mutate,,
mute,,"He is mute on the subject of social
system.
他对社会制度的问题保持沉默 。"
mutter,,
myopic,,"The government still has a myopic
attitude to spending.
政府在开支方面仍然缺乏远见 。"
myriad,,
na?ve,,
nadir,,"The demand for this product will
reach its nadir within two years.
对此产品的需求在两年内将达到最低点。"
narcissistic,,
nascent,budding/unformed,"Our manager discovered a nascent talent.
我们经理发现了一个新人才 。"
natty,,
nauseate,,
nautical,,
naysay,,
nebulous,vague,"The notions we children were able to
form of the great world beyond were exceedingly nebulous.
我们这些孩子对外部世界所能形成的
认识是非常模糊的。"
needy,,"There will be efforts to get larger
amounts of food to the needy.
将努力把更多的食品送给穷人 。"
nefarious,,"The EU reckons that Intel's use of such rebates was nefarious.
欧盟认为，英特尔利用返点促销用意
恶毒。"
negation,,
negligent,,"If the government is proved negligent, compensation  will be payable.
如果证明是政府的疏忽 ，就应支付赔
偿。"
negotiate,,
neophyte,,"He is a neophyte at politics.
他是个初涉政界的人 。"
nerve,,
nettle,,"She was nettled by his rude manner.
他粗鲁的举止惹恼了她 。"
neutralize,,
nexus,,"The Prayer Book has provided a
flexible enough nexus of beliefs to hold together the different church parties.
祈祷书为各信仰之间建起了足够灵活的联系纽带，以期将各个不同教派凝
聚在一起。"
nibble,,
nicety,,
nil,,
nip,,
nirvana,,
